ExhaustiveStarScheduler, TercioScheduler, 
2 63.60210195592941
3 63.50514919842167
4 63.59904073012744
5 63.67448492581893
6 63.44994637208869
7 63.92132252033764
8 63.59904073012744
9 63.30628430957949
10, 63.29939499959423, 63.29939499959423, 
0 62.90174650172006
1 62.33782034436427
2 56.48315487317086
3 64.0760896352175
4 63.409974353321935
5 61.44723934543343
6 56.48315487317086
7 65.786618039059
8 64.0760896352175
9 56.48315487317086
10, 56.48315487317086, 56.48315487317086, 
0 64.58707570800851
1 64.58707570800851
2 69.60941146193528
3 64.58707570800851
4 64.58707570800851
5 64.58707570800851
6 64.58707570800851
7 64.58707570800851
8 64.58707570800851
9 64.58707570800851
10, 64.58707570800851, 64.08540223715852, 
0 62.91937021631895
1 62.91937021631895
2 62.474792787699585
3 60.762593873330076
4 63.49430807295331
5 61.902291447865224
6 63.04902880036873
7 62.49062706199435
8 61.06030480130501
9 61.68423188878654
10, 60.762593873330076, 60.762593873330076, 
0 63.52164940740572
1 63.52164940740572
2 63.52164940740573
3 63.52164940740572
4 68.37453334137538
5 64.38990633696712
6 63.52164940740572
7 63.74354095488482
8 63.84453185708031
9 63.50707267787976
10, 63.50707267787976, 63.028481437596916, 
0 63.35139310861536
1 62.69503368300724
2 62.516185276621286
3 62.516185276621286
4 62.00135552752711
5 62.34978810549928
6 62.00135552752711
7 63.043496327948176
8 63.33515558174625
9 63.03144264990726
10, 62.00135552752711, 62.00135552752711, 
0 62.547940068416565
1 63.59086851557505
2 62.547940068416565
3 62.62307434055691
4 63.04420411999761
5 62.547940068416565
6 63.167283047196584
7 62.84832950206324
8 63.39806228280149
9 62.547940068416565
10, 62.547940068416565, 62.22808001472846, 
0 71.60311408607188
1 65.09543621560181
2 70.52607595527354
3 71.60311408607188
4 65.32583462706866
5 65.32583462706866
6 62.50648489104881
7 65.13291244896479
8 65.32583462706866
9 65.32583462706866
10, 62.50648489104881, 61.92303811870832, 
0 63.75495495053401
1 56.88792877492873
2 66.19500415813756
3 64.9296076595369
4 64.7049997317101
5 56.628834913309824
6 65.75501643896553
7 64.81040858311846
8 64.9296076595369
9 56.88792877492873
10, 56.628834913309824, 56.10435169527512, 
0 73.24462370357213
1 73.02580989976697
2 64.21185649159725
3 63.11486137919633
4 72.92863501967156
5 69.96359914112705
6 73.02580989976695
7 63.57259809503383
8 72.56815159663049
9 72.92863501967156
10, 63.11486137919633, 59.924282127621765, 
0 63.03269551408023
1 63.03269551408023
2 64.17123665778946
3 63.57964937559764
4 62.68824121321839
5 63.05523115392216
6 63.50002033869231
7 62.84174990861157
8 63.03269551408023
9 64.73617499008685
10, 62.68824121321839, 62.59404379465523, 
0 66.55822869148298
1 68.83640803771853
2 72.51810171874396
3 68.83640803771853
4 66.55822869148298
5 63.867043380504924
6 71.95584437075462
7 66.55822869148298
8 66.55822869148298
9 71.2484136316488
10, 63.867043380504924, 62.898165174486834, 
0 61.90380464824599
1 62.26976650137344
2 61.70679339392987
3 61.817521832884935
4 62.61626194620384
5 61.817521832884935
6 63.27798155102511
7 61.870262696475294
8 61.90380464824599
9 62.26976650137344
10, 61.70679339392987, 61.49157942745323, 
0 58.06313238681419
1 58.06313238681419
2 58.06313238681418
3 62.318864294725
4 59.11059468663998
5 58.06313238681418
6 61.62345108114681
7 61.62345108114681
8 59.11059468663998
9 61.62629822292048
10, 58.06313238681418, 58.06313238681419, 
0 63.66216565666777
1 63.70011816640431
2 63.53426718289005
3 63.53426718289004
4 63.66216565666777
5 63.66216565666777
6 63.66216565666777
7 63.70011816640431
8 63.66216565666777
9 63.95749188806812
10, 63.53426718289004, 63.53426718289005, 
0 62.429092555587495
1 62.10248113931838
2 63.57771814703416
3 62.10248113931838
4 62.89736447456235
5 62.10248113931838
