ExhaustiveStarScheduler, TercioScheduler, 
4, 34.82008532382992, 34.82008532382992, 
4, 25.412348781899944, 25.412348781899944, 
4, 31.347556180444236, 31.347556180444236, 
4, 42.3534843374894, 42.3534843374894, 
4, 41.2389363425699, 41.2389363425699, 
4, 31.3021763190956, 31.3021763190956, 
4, 31.430454831414522, 31.430454831414522, 
4, 31.62435493180417, 31.62435493180417, 
4, 31.13490891328157, 31.13490891328157, 
4, 41.616092403701074, 41.616092403701074, 
4, 31.378900825443857, 31.378900825443857, 
4, 42.03345652673098, 42.03345652673098, 
4, 32.163264735237824, 32.163264735237824, 
4, 42.50581551934032, 42.50581551934032, 
4, 41.78044825831399, 41.78044825831399, 
4, 32.83140540780577, 32.83140540780577, 
4, 31.228830223960617, 31.228830223960617, 
4, 42.71688067738398, 42.71688067738398, 
4, 31.252434065088416, 31.252434065088416, 
4, 31.522096300173278, 31.522096300173278, 
4, 31.12261087214368, 31.12261087214368, 
4, 30.961433284369832, 30.961433284369832, 
4, 30.96999028423293, 30.96999028423293, 
4, 32.14291543749045, 32.14291543749045, 
4, 42.687502545375594, 42.687502545375594, 
4, 31.1565888939428, 31.1565888939428, 
4, 33.99053517046136, 33.99053517046136, 
4, 31.40952005073296, 31.40952005073296, 
4, 42.718435988963336, 42.718435988963336, 
4, 31.96764988279262, 31.96764988279262, 
4, 31.454869112767057, 31.454869112767057, 
4, 37.1177719164506, 37.1177719164506, 
4, 29.502763540627647, 29.502763540627647, 
4, 31.799976853048438, 31.799976853048438, 
4, 30.19540158128376, 30.19540158128376, 
4, 30.681794230153137, 30.681794230153137, 
4, 33.70696273398097, 33.70696273398097, 
4, 43.528560323307474, 43.528560323307474, 
4, 22.37019630611804, 22.37019630611804, 
4, 42.62125778722465, 42.62125778722465, 
4, 30.88375458348954, 30.88375458348954, 
4, 31.215043217830274, 31.215043217830274, 
4, 31.814426494414008, 31.814426494414008, 
4, 31.881542732865775, 31.881542732865775, 
4, 31.567367113450402, 31.567367113450402, 
5, 44.86127540651277, 44.86127540651277, 
5, 35.06927300538387, 35.06927300538387, 
