MILP, Buffered, Tercio
3, 24.336220369431974, 24.336220369431977, 24.336220369431977
3, 31.275941680009566, 31.275941680009566, 31.275941680009566
3, 30.979514039192615, 30.979514039192694, 30.979514039192694
3, 30.453106244633286, 30.453106244633414, 30.453106244633414
3, 31.333391124172532, 31.333391124172532, 31.333391124172532
3, 21.14814807046288, 21.14814807046291, 21.14814807046291
3, 31.108560013494643, 31.108560013494845, 31.108560013494845
3, 30.589288061998296, 30.589288061998296, 30.589288061998296
3, 22.579604017783428, 22.579604017783495, 22.579604017783495
3, 31.16211317052783, 31.162113173744046, 31.162113173744046
3, 31.0899492429035, 31.0899492429035, 31.0899492429035
3, 31.19258875871382, 31.192588758713825, 31.192588758713825
3, 30.500489920781842, 30.50048992078184, 30.50048992078184
3, 21.16011417874161, 21.16011417874161, 21.16011417874161
3, 30.484908017089353, 30.484908017089353, 30.484908017089353
3, 30.85600075293314, 30.85600075293314, 30.85600075293314
3, 31.3120832895162, 31.312083289516195, 31.312083289516195
3, 31.075268604208397, 31.075268604208397, 31.075268604208397
3, 31.19333783051777, 31.19333783051777, 31.19333783051777
3, 23.559475027797557, 23.559475027797625, 23.559475027797625
3, 31.920000661661707, 31.920000661661707, 31.920000661661707
3, 31.033846066729605, 31.033846066729605, 31.033846066729605
3, 23.720038157447657, 23.72003815744766, 23.72003815744766
3, 20.597428589677925, 20.597428589678067, 20.597428589678067
3, 24.576947863466817, 24.57694786346692, 24.57694786346692
3, 31.773778241763612, 31.77377824176361, 31.77377824176361
3, 31.932520245548996, 31.932520245548993, 31.932520245548993
3, 32.40517411207165, 32.40517411207165, 32.40517411207165
3, 31.922644406199613, 31.92264440619961, 31.92264440619961
3, 30.93373788495353, 30.93373788495353, 30.93373788495353
3, 21.223175337526285, 21.223175337526378, 21.223175337526378
3, 31.709695157141184, 31.709695157141176, 31.709695157141176
3, 31.097508333508834, 31.09750833350884, 31.09750833350884
3, 30.801041643283142, 30.80104164328315, 30.80104164328315
3, 21.04121491873384, 21.041214918733885, 21.041214918733885
3, 20.909130193212242, 20.909130193212242, 20.909130193212242
3, 21.491067800331944, 21.491067800331972, 21.491067800331972
3, 30.554676743017197, 30.554676743017254, 30.554676743017254
3, 20.63405158879631, 20.63405158879636, 20.63405158879636
3, 22.282355331020025, 22.282355331020113, 22.282355331020113
3, 30.374334997269813, 30.374334997269813, 30.374334997269813
3, 31.521328104258664, 31.521328104258675, 31.521328104258675
3, 31.053431796082897, 31.05343179608287, 31.05343179608287
3, 31.530186244291674, 31.53018624429167, 31.53018624429167
3, 21.40079941842477, 21.40079941842477, 21.40079941842477
3, 30.775800440583264, 30.775800440583403, 30.775800440583403
